Name	Number	ID	Date	Name2
GM19043	83	GM19043_REP83	rec 25-Apr-18	19043
GM19128	84	GM19128_REP84	rec 25-Apr-18	19128
GM19252	85	GM19252_REP85	rec 25-Apr-18	19252
GM19351	86	GM19351_REP86	rec 25-Apr-18	19351
GM19437	87	GM19437_REP87	rec 25-Apr-18	19437
GM20521	88	GM20521_REP88	rec 25-Apr-18	20521
GM20756	89	GM20756_REP89	rec 25-Apr-18	20756
GM20798	90	GM20798_REP90	rec 25-Apr-18	20798
GM20816	91	GM20816_REP91	rec 25-Apr-18	20816
GM20829	92	GM20829_REP92	rec 25-Apr-18	20829
HG00105	93	HG00105_REP93	rec 25-Apr-18	105
HG00341	94	HG00341_REP94	rec 25-Apr-18	341
HG02759	95	HG02759_REP95	rec 25-Apr-18	2759
HG02938	96	HG02938_REP96	rec 25-Apr-18	2938
HG03027	97	HG03027_REP97	rec 25-Apr-18	3027
HG03248	98	HG03248_REP98	rec 25-Apr-18	3248
HG03399	99	HG03399_REP99	rec 25-Apr-18	3399
HG03450	100	HG03450_REP100	rec 25-Apr-18	3450
HG00129	101	HG00129_REP101	rec 8-May-18	129
HG00131	102	HG00131_REP102	rec 8-May-18	131
HG00133	103	HG00133_REP103	rec 8-May-18	133
HG00145	104	HG00145_REP104	rec 8-May-18	145
